text,start,end,confidence,line_number,line_position,audible_duration,pregap
the,796.16,796.29,0.749,236,51,0.13,0.0
night,796.29,796.48,0.269,236,52,0.19,0.0
she,796.48,796.62,0.772,236,53,0.14,0.0
says,796.62,797.04,0.722,236,54,0.42,0.0
I,797.1800000000001,797.26,0.772,236,55,0.08,0.14
wanted,797.26,797.52,0.369,236,56,0.26,0.0
these,797.52,797.79,0.366,236,57,0.27,0.0
to,797.79,797.89,0.961,236,58,0.1,0.0
think,797.89,798.05,1.0,236,59,0.16,0.0
they,798.05,798.13,0.545,236,60,0.08,0.0
are,798.13,798.26,0.718,236,61,0.13,0.0
in,798.26,798.34,0.722,236,62,0.08,0.0
the,798.34,798.4300000000001,0.924,236,63,0.09,0.0
system,798.4300000000001,798.87,0.96,236,64,0.44,0.0
today,798.87,799.16,0.198,236,65,0.29,0.0
as,799.72,799.87,1.0,237,0,0.15,799.72
a,799.87,799.94,1.0,237,1,0.07,0.0
street,799.94,800.27,1.0,237,2,0.33,0.0
name,800.27,800.55,0.72,237,3,0.28,0.0
let,801.48,801.62,1.0,237,4,0.14,0.93
me,801.62,801.72,0.909,237,5,0.1,0.0
ask,801.72,801.94,1.0,237,6,0.22,0.0
you,801.94,802.02,1.0,237,7,0.08,0.0
something,802.02,802.33,0.988,237,8,0.31,0.0
Jimmy,802.33,802.61,0.584,237,9,0.28,0.0
Herminia,802.89,803.44,0.32,237,10,0.55,0.28
case,803.44,803.78,0.979,237,11,0.34,0.0
files,803.78,804.06,0.523,237,12,0.28,0.0
got,804.06,804.26,0.749,237,13,0.2,0.0
here,804.26,804.38,0.794,237,14,0.12,0.0
that,804.38,804.51,0.508,237,15,0.13,0.0
you,804.51,804.58,0.331,237,16,0.07,0.0
couldn't,804.58,804.83,0.065,237,17,0.25,0.0
Barksdale,804.83,805.35,0.586,237,18,0.52,0.0
maybe,806.78,807.1,0.818,238,0,0.32,806.78
a,807.1,807.14,0.89,238,1,0.04,0.0
dozen,807.14,807.53,0.884,238,2,0.39,0.0
dozen,808.29,808.59,0.895,239,0,0.3,808.29
cases,808.59,808.96,0.442,239,1,0.37,0.0
so,809.08,809.36,0.835,239,2,0.28,0.12
how,809.5699999999999,809.72,1.0,239,3,0.15,0.21
many,809.72,809.91,1.0,239,4,0.19,0.0
of,809.91,809.97,0.765,239,5,0.06,0.0
those,809.97,810.15,0.765,239,6,0.18,0.0
are,810.15,810.22,1.0,239,7,0.07,0.0
from,810.22,810.41,1.0,239,8,0.19,0.0
our,810.41,810.54,1.0,239,9,0.13,0.0
squad,810.54,810.9,0.244,239,10,0.36,0.0
one,812.35,812.74,0.991,240,0,0.39,812.35
Gerard,813.79,814.23,1.0,241,0,0.44,813.79
boat,814.23,814.72,0.554,241,1,0.49,0.0
he,814.85,815.14,0.317,241,2,0.29,0.13
case,815.14,815.8199999999999,0.767,241,3,0.68,0.0
your,816.8,816.97,0.361,242,0,0.17,816.8
squad,816.97,817.31,0.116,242,1,0.34,0.0
down,817.31,817.6,0.807,242,2,0.29,0.0
a,817.6,817.71,0.75,242,3,0.11,0.0
man,817.71,818.01,1.0,242,4,0.3,0.0
for,818.01,818.14,1.0,242,5,0.13,0.0
weeks,818.14,818.44,1.0,242,6,0.3,0.0
Jimmy,818.44,818.79,0.447,242,7,0.35,0.0
really,819.97,820.25,0.35,243,0,0.28,819.97
humping,820.25,820.55,0.447,243,1,0.3,0.0
your,820.55,820.67,0.872,243,2,0.12,0.0
call,820.67,821.04,0.506,243,3,0.37,0.0
sketching,821.04,821.42,0.492,243,4,0.38,0.0
or,821.42,821.49,0.459,243,5,0.07,0.0
cases,821.49,822.13,0.981,243,6,0.64,0.0
you,822.65,822.75,0.565,244,0,0.1,822.65
know,822.75,822.9,0.601,244,1,0.15,0.0
popping,823.26,823.53,0.18,244,2,0.27,0.36
around,823.53,823.8,0.955,244,3,0.27,0.0
like,823.8,823.96,0.887,244,4,0.16,0.0
a,823.96,824.1,0.882,244,5,0.14,0.0
one,824.24,824.46,0.282,244,6,0.22,0.14
legged,824.46,824.8199999999999,0.258,244,7,0.36,0.0
pig,824.95,825.22,0.493,244,8,0.27,0.13
town,825.22,825.54,0.954,244,9,0.32,0.0
****,825.54,825.79,0.353,244,10,0.25,0.0
unchecked,825.79,826.27,0.823,244,11,0.48,0.0
and,826.27,826.47,0.222,244,12,0.2,0.0
for,826.47,826.5699999999999,0.909,244,13,0.1,0.0
what's,826.5699999999999,826.87,0.674,244,14,0.3,0.0
that,826.87,827.02,0.878,244,15,0.15,0.0
you,827.02,827.1,0.845,244,16,0.08,0.0
can,827.1,827.21,0.425,244,17,0.11,0.0
have,827.21,827.3199999999999,0.209,244,18,0.11,0.0
a,827.3199999999999,827.39,0.207,244,19,0.07,0.0
big,827.39,827.65,1.0,244,20,0.26,0.0
adventures,827.65,828.1800000000001,0.582,244,21,0.53,0.0
of,828.1800000000001,828.39,0.865,244,22,0.21,0.0
everybody,828.39,828.71,1.0,244,23,0.32,0.0
else's,828.71,829.02,0.822,244,24,0.31,0.0
cases,829.02,829.53,1.0,244,25,0.51,0.0
is,829.85,829.98,1.0,244,26,0.13,0.32
this,829.98,830.15,1.0,244,27,0.17,0.0
what,830.15,830.29,0.715,244,28,0.14,0.0
I'm,830.29,830.41,1.0,244,29,0.12,0.0
hearing,830.41,830.76,0.284,244,30,0.35,0.0
it's,831.95,832.08,0.342,245,0,0.13,831.95
got,832.08,832.3,0.632,245,1,0.22,0.0
to,832.3,832.4,0.655,245,2,0.1,0.0
Germany,832.4,832.7,0.223,245,3,0.3,0.0
first,835.19,835.38,0.217,246,0,0.19,835.19
love,835.38,835.6,0.526,246,1,0.22,0.0
McNulty,835.6,836.08,0.713,246,2,0.48,0.0
show,836.7,836.9300000000001,1.0,247,0,0.23,836.7
me,836.9300000000001,837.04,1.0,247,1,0.11,0.0
some,837.04,837.19,1.0,247,2,0.15,0.0
****,837.19,837.56,0.697,247,3,0.37,0.0
was,837.56,837.78,0.102,247,4,0.22,0.0
owned,837.83,838.11,0.247,247,5,0.28,0.05
by,838.11,838.45,0.416,247,6,0.34,0.0
he's,841.38,841.55,0.22,248,0,0.17,841.38
my,841.55,841.71,0.931,248,1,0.16,0.0
son,841.71,842.15,0.887,248,2,0.44,0.0
just,849.89,850.26,0.811,249,0,0.37,849.89
dump,850.26,850.47,0.52,249,1,0.21,0.0
this,850.47,850.61,0.435,249,2,0.14,0.0
loser,850.61,851.0,0.335,249,3,0.39,0.0
Santangelo,851.0,851.75,0.853,249,4,0.75,0.0
suppose,851.75,852.1,0.501,249,5,0.35,0.0
we,852.1,852.19,0.565,249,6,0.09,0.0
don't,852.19,852.44,0.322,249,7,0.25,0.0
know,852.44,852.58,0.043,249,8,0.14,0.0
how,852.58,852.75,0.086,249,9,0.17,0.0
I,853.34,853.45,1.0,249,10,0.11,0.59
would,853.45,853.64,1.0,249,11,0.19,0.0
if,853.64,853.76,0.961,249,12,0.12,0.0
I,853.76,853.8199999999999,1.0,249,13,0.06,0.0
could,853.8199999999999,853.99,1.0,249,14,0.17,0.0
find,853.99,854.31,1.0,249,15,0.32,0.0
the,854.31,854.37,0.452,249,16,0.06,0.0
****,854.37,854.78,0.284,249,17,0.41,0.0
let's,855.8,855.96,0.135,250,0,0.16,855.8
them,855.96,856.13,0.602,250,1,0.17,0.0
another,856.13,856.37,0.867,250,2,0.24,0.0
job,856.37,856.72,0.985,250,3,0.35,0.0
he's,856.72,856.8399999999999,0.718,250,4,0.12,0.0
got,856.8399999999999,857.0799999999999,1.0,250,5,0.24,0.0
so,857.0799999999999,857.22,1.0,250,6,0.14,0.0
much,857.22,857.52,0.99,250,7,0.3,0.0
what,857.9100000000001,858.05,0.447,251,0,0.14,857.91
is,858.05,858.1700000000001,0.716,251,1,0.12,0.0
the,858.1700000000001,858.3299999999999,0.881,251,2,0.16,0.0
use,858.3299999999999,858.5899999999999,0.827,251,3,0.26,0.0
of,858.5899999999999,858.77,0.975,251,4,0.18,0.0
say,858.77,858.9300000000001,0.458,251,5,0.16,0.0
about,858.9300000000001,859.1800000000001,0.779,251,6,0.25,0.0
that,859.1800000000001,859.36,0.255,251,7,0.18,0.0
nothing,859.45,859.87,0.654,251,8,0.42,0.09
I,859.87,859.96,0.701,251,9,0.09,0.0
cover,859.96,860.3,0.454,251,10,0.34,0.0
for,860.3,860.4300000000001,0.499,251,11,0.13,0.0
the,860.4300000000001,860.52,0.745,251,12,0.09,0.0
guy,860.52,860.8299999999999,0.686,251,13,0.31,0.0
he's,861.4,861.56,0.549,252,0,0.16,861.4
out,861.56,861.76,0.915,252,1,0.2,0.0
the,861.76,861.8399999999999,0.9,252,2,0.08,0.0
window,861.8399999999999,862.1800000000001,0.715,252,3,0.34,0.0
all,862.1800000000001,862.4100000000001,1.0,252,4,0.23,0.0
day,862.4100000000001,862.6,1.0,252,5,0.19,0.0
yesterday,862.6,863.05,0.999,252,6,0.45,0.0
half,863.05,863.3399999999999,0.535,252,7,0.29,0.0
the,863.3399999999999,863.4300000000001,0.695,252,8,0.09,0.0
day,863.4300000000001,863.56,0.695,252,9,0.13,0.0
before,863.56,863.96,0.991,252,10,0.4,0.0
a,865.1800000000001,865.48,1.0,253,0,0.3,865.18
nuclear,865.51,866.0899999999999,0.976,253,1,0.58,0.03
really,866.0899999999999,866.39,0.949,253,2,0.3,0.0
dug,866.39,866.73,0.284,253,3,0.34,0.0
listen,866.73,867.14,0.088,253,4,0.41,0.0
and,867.35,867.56,0.266,253,5,0.21,0.21
then,867.56,867.73,0.169,253,6,0.17,0.0
in,867.73,867.87,0.742,253,7,0.14,0.0
here,867.87,868.12,0.959,253,8,0.25,0.0
but,868.12,868.26,0.823,253,9,0.14,0.0
the,868.26,868.3399999999999,0.366,253,10,0.08,0.0
twenty,868.3399999999999,868.6600000000001,0.95,253,11,0.32,0.0
four,868.6600000000001,869.1,1.0,253,12,0.44,0.0
and,869.1,869.22,0.666,253,13,0.12,0.0
some,869.22,869.48,0.662,253,14,0.26,0.0
crime,869.48,869.89,0.979,253,15,0.41,0.0
scene,869.89,870.14,1.0,253,16,0.25,0.0
photos,870.14,870.69,0.996,253,17,0.55,0.0
and,870.9200000000001,871.1,0.558,253,18,0.18,0.23
this,871.1,871.53,0.993,253,19,0.43,0.0
Towanda,872.5699999999999,873.21,0.499,254,0,0.64,872.57
called,873.21,873.6700000000001,0.126,254,1,0.46,0.0
an,874.5899999999999,874.78,0.173,255,0,0.19,874.59
empty,874.78,875.24,0.177,255,1,0.46,0.0
no,875.8399999999999,875.97,0.346,256,0,0.13,875.84
last,875.97,876.3399999999999,0.919,256,1,0.37,0.0
name,876.3399999999999,876.56,1.0,256,2,0.22,0.0
no,876.56,876.71,0.889,256,3,0.15,0.0
address,876.71,877.24,0.818,256,4,0.53,0.0
claims,877.51,877.96,0.961,256,5,0.45,0.27
your,877.96,878.1,0.372,256,6,0.14,0.0
victim,878.1,878.54,0.751,256,7,0.44,0.0
killed,878.54,878.8299999999999,0.977,256,8,0.29,0.0
after,878.8299999999999,879.11,1.0,256,9,0.28,0.0
being,879.11,879.3299999999999,1.0,256,10,0.22,0.0
visited,879.3299999999999,879.65,1.0,256,11,0.32,0.0
by,879.65,879.81,0.991,256,12,0.16,0.0
a,879.81,879.86,0.704,256,13,0.05,0.0
suspect,879.86,880.4200000000001,1.0,256,14,0.56,0.0
named,880.4200000000001,880.85,0.999,256,15,0.43,0.0
dean,880.85,881.3,0.245,256,16,0.45,0.0
no,882.97,883.1,1.0,257,0,0.13,882.97
further,883.1,883.39,1.0,257,1,0.29,0.0
description,883.39,884.03,0.997,257,2,0.64,0.0
as,885.47,885.5899999999999,0.217,258,0,0.12,885.47
a,885.5899999999999,885.64,0.515,258,1,0.05,0.0
call,885.64,885.86,0.306,258,2,0.22,0.0
back,885.86,886.0799999999999,0.72,258,3,0.22,0.0
number,886.0799999999999,886.3,0.561,258,4,0.22,0.0
though,886.3,886.53,0.561,258,5,0.23,0.0
so,887.63,887.89,0.955,259,0,0.26,887.63
call,887.89,888.4,0.423,259,1,0.51,0.0
number,908.32,908.59,0.414,262,0,0.27,908.32
you,908.59,908.76,0.834,262,1,0.17,0.0
connect,910.1,910.44,0.072,263,0,0.34,910.1
no,910.89,911.02,0.716,263,1,0.13,0.45
pretty,911.02,911.27,0.132,263,2,0.25,0.0
disconnected,911.27,911.99,0.788,263,3,0.72,0.0
you,914.17,914.35,0.367,265,0,0.18,914.17
got,914.35,914.61,0.842,265,1,0.26,0.0
to,914.61,914.77,0.506,265,2,0.16,0.0
give,914.77,915.01,0.471,265,3,0.24,0.0
me,915.01,915.16,0.474,265,4,0.15,0.0
alright,916.75,917.14,0.984,266,0,0.39,916.75
****,917.14,917.74,0.279,266,1,0.6,0.0
she,917.89,918.1,0.296,266,2,0.21,0.15
got,918.1,918.39,0.628,266,3,0.29,0.0
me,918.39,918.54,0.899,266,4,0.15,0.0
to,918.54,918.88,0.982,266,5,0.34,0.0
some,920.6,920.8,0.687,268,0,0.2,920.6
of,920.8,920.86,0.455,268,1,0.06,0.0
the,920.86,920.92,0.455,268,2,0.06,0.0
call,920.92,921.15,0.492,268,3,0.23,0.0
Verizon,921.15,921.82,0.869,268,4,0.67,0.0
you've,922.03,922.26,0.144,268,5,0.23,0.21
got,922.26,922.48,0.241,268,6,0.22,0.0
a,922.48,922.53,0.977,268,7,0.05,0.0
fresh,922.53,922.89,0.788,268,8,0.36,0.0
listing,922.89,923.34,0.849,268,9,0.45,0.0
you,924.99,925.1,0.476,269,0,0.11,924.99
have,925.1,925.3,0.966,269,1,0.2,0.0
been,925.3,925.46,0.63,269,2,0.16,0.0
a,925.46,925.58,0.33,269,3,0.12,0.0
****,925.58,926.12,0.97,269,4,0.54,0.0
this,928.8,929.01,0.111,270,0,0.21,928.8
is,929.01,929.08,0.062,270,1,0.07,0.0
about,929.08,929.31,0.658,270,2,0.23,0.0
the,929.31,929.41,0.275,270,3,0.1,0.0
tabloids,929.41,930.21,0.124,270,4,0.8,0.0
seeing,931.86,932.17,0.2,271,0,0.31,931.86
the,932.17,932.26,0.896,271,1,0.09,0.0
van,932.26,932.49,0.268,271,2,0.23,0.0
clear,933.29,933.53,0.206,272,0,0.24,933.29
the,933.53,933.62,0.776,272,1,0.09,0.0
court,933.62,933.99,0.456,272,2,0.37,0.0
mold,934.2,934.5,0.309,272,3,0.3,0.21
and,934.59,934.83,0.525,272,4,0.24,0.09
told,935.34,935.53,0.188,272,5,0.19,0.51
Alexis,935.53,935.95,0.145,272,6,0.42,0.0
post,936.87,937.14,0.155,273,0,0.27,936.87
reported,937.14,937.56,0.404,273,1,0.42,0.0
stolen,937.56,937.93,0.94,273,2,0.37,0.0
off,937.93,938.07,0.226,273,3,0.14,0.0
a,938.07,938.12,0.262,273,4,0.05,0.0
car,938.12,938.36,0.488,273,5,0.24,0.0
parked,938.36,938.71,0.229,273,6,0.35,0.0
right,938.74,938.98,1.0,273,7,0.24,0.03
here,938.98,939.32,1.0,273,8,0.34,0.0
on,939.32,939.41,0.586,273,9,0.09,0.0
this,939.41,939.62,0.96,273,10,0.21,0.0
Zbigniew,940.53,941.12,0.03,274,0,0.59,940.53
letterman,941.12,941.54,0.107,274,1,0.42,0.0
I,941.54,941.59,0.278,274,2,0.05,0.0
have,941.59,941.85,0.112,274,3,0.26,0.0
a,941.85,941.97,0.113,274,4,0.12,0.0
maybe,943.21,943.72,0.438,275,0,0.51,943.21
going,944.77,944.98,0.137,276,0,0.21,944.77
to,944.98,945.04,0.169,276,1,0.06,0.0
tell,945.04,945.34,0.952,276,2,0.3,0.0
us,945.34,945.47,0.524,276,3,0.13,0.0
that,945.47,945.6,0.288,276,4,0.13,0.0
it,945.6,945.66,0.981,276,5,0.06,0.0
was,945.66,945.79,1.0,276,6,0.13,0.0
Oman,945.79,946.25,0.687,276,7,0.46,0.0
screw,946.25,946.56,0.084,276,8,0.31,0.0
unless,947.65,947.96,0.129,277,0,0.31,947.65
was,949.03,949.21,0.267,278,0,0.18,949.03
it,949.21,949.43,0.407,278,1,0.22,0.0
we,950.06,950.27,0.6,278,2,0.21,0.63
know,950.27,950.45,0.773,278,3,0.18,0.0
almost,950.45,950.84,0.065,278,4,0.39,0.0
Oman,951.8,952.26,0.242,279,0,0.46,951.8
to,952.26,952.35,0.37,279,1,0.09,0.0
tell,952.35,952.73,0.316,279,2,0.38,0.0
that's,953.42,953.7,0.066,280,0,0.28,953.42
been,953.7,953.8,0.332,280,1,0.1,0.0
about,953.8,954.11,0.396,280,2,0.31,0.0
nine,954.11,954.33,0.481,280,3,0.22,0.0
hits,954.33,954.56,0.455,280,4,0.23,0.0
again,954.56,955.0,0.083,280,5,0.44,0.0
if,955.96,956.13,0.41,281,0,0.17,955.96
this,956.13,956.58,0.14,281,1,0.45,0.0
****,957.11,957.41,0.988,281,2,0.3,0.53
don't,957.41,957.6,0.998,281,3,0.19,0.0
play,957.6,957.89,0.391,281,4,0.29,0.0
that,958.67,958.86,0.584,282,0,0.19,958.67
lesson,958.86,959.42,0.477,282,1,0.56,0.0
just,960.61,960.86,0.863,283,0,0.25,960.61
a,960.86,960.91,0.165,283,1,0.05,0.0
little,960.91,961.34,0.07,283,2,0.43,0.0
you,961.65,961.75,0.318,283,3,0.1,0.31
know,961.75,961.85,0.251,283,4,0.1,0.0
me,961.85,962.03,0.236,283,5,0.18,0.0
know,962.03,962.18,0.439,283,6,0.15,0.0
Leslie,962.18,962.79,0.251,283,7,0.61,0.0
does,963.71,963.91,0.846,284,0,0.2,963.71
this,963.91,964.05,0.739,284,1,0.14,0.0
family,964.05,964.5,0.987,284,2,0.45,0.0
remember,965.24,965.52,0.289,285,0,0.28,965.24
no,965.52,965.72,0.313,285,1,0.2,0.0
I,965.72,965.81,0.178,285,2,0.09,0.0
don't,965.81,966.01,0.091,285,3,0.2,0.0
think,966.01,966.16,0.123,285,4,0.15,0.0
he,967.08,967.19,0.336,286,0,0.11,967.08
met,967.19,967.33,0.675,286,1,0.14,0.0
with,967.33,967.44,0.939,286,2,0.11,0.0
him,967.44,967.66,0.98,286,3,0.22,0.0
buttons,967.99,968.52,0.153,286,4,0.53,0.33
and,969.61,969.96,0.912,287,0,0.35,969.61
this,971.99,972.2,0.892,288,0,0.21,971.99
can,972.2,972.42,0.101,288,1,0.22,0.0
not,973.03,973.41,0.701,288,2,0.38,0.61
tell,973.41,973.6800000000001,0.176,288,3,0.27,0.0
me,973.6800000000001,973.84,0.304,288,4,0.16,0.0
you,973.84,973.9300000000001,0.499,288,5,0.09,0.0
don't,973.9300000000001,974.0699999999999,0.363,288,6,0.14,0.0
remember,974.0699999999999,974.36,1.0,288,7,0.29,0.0
nobody,974.36,974.94,0.106,288,8,0.58,0.0
damn,976.86,977.21,0.161,289,0,0.35,976.86
girl,977.21,977.59,0.378,289,1,0.38,0.0
the,977.62,977.73,0.974,289,2,0.11,0.03
tentative,977.73,978.12,0.153,289,3,0.39,0.0
release,978.12,978.36,0.241,289,4,0.24,0.0
and,978.36,978.5699999999999,0.537,289,5,0.21,0.0
Elise's,978.5699999999999,979.27,0.496,289,6,0.7,0.0
right,981.06,981.38,0.374,290,0,0.32,981.06
now,981.38,981.63,0.591,290,1,0.25,0.0
I,981.63,981.76,0.901,290,2,0.13,0.0
am,981.76,981.92,0.997,290,3,0.16,0.0
personally,981.92,982.41,0.037,290,4,0.49,0.0
seem,982.41,982.79,0.86,290,5,0.38,0.0
to,982.79,982.87,1.0,290,6,0.08,0.0
be,982.87,983.02,0.963,290,7,0.15,0.0
just,983.02,983.33,0.374,290,8,0.31,0.0
right,983.33,983.77,0.186,290,9,0.44,0.0
what,989.21,989.45,0.354,291,0,0.24,989.21
only,990.1,990.31,0.592,292,0,0.21,990.1
from,990.31,990.5,0.258,292,1,0.19,0.0
laughs,992.03,992.59,0.333,293,0,0.56,992.03
twelve,993.92,994.1800000000001,1.0,294,0,0.26,993.92
forty,994.1800000000001,994.69,0.68,294,1,0.51,0.0
but,995.37,995.58,0.281,295,0,0.21,995.37
what,995.58,995.75,0.237,295,1,0.17,0.0
questioning,996.94,997.46,0.328,296,0,0.52,996.94
one,997.46,997.59,0.522,296,1,0.13,0.0
of,997.59,997.65,0.342,296,2,0.06,0.0
my,997.65,997.78,0.813,296,3,0.13,0.0
unit,997.78,998.13,0.843,296,4,0.35,0.0
is,998.13,998.3199999999999,0.739,296,5,0.19,0.0
up,998.3199999999999,998.47,0.739,296,6,0.15,0.0
to,998.47,998.56,1.0,296,7,0.09,0.0
report,998.56,998.87,1.0,296,8,0.31,0.0
to,998.87,998.95,0.569,296,9,0.08,0.0
channel,998.95,999.24,0.638,296,10,0.29,0.0
thirteen,999.24,999.72,0.915,296,11,0.48,0.0
thirty,1000.89,1001.2,0.756,297,0,0.31,1000.89
five,1001.2,1001.61,0.968,297,1,0.41,0.0
I,1001.61,1001.71,0.838,297,2,0.1,0.0
get,1001.71,1001.9300000000001,0.428,297,3,0.22,0.0
that,1001.9300000000001,1002.15,0.982,297,4,0.22,0.0
that,1010.5699999999999,1010.78,0.829,298,0,0.21,1010.57
could,1010.78,1010.95,0.118,298,1,0.17,0.0
be,1010.95,1011.04,0.363,298,2,0.09,0.0
moved,1011.04,1011.41,0.317,298,3,0.37,0.0
Avon,1012.31,1012.75,0.291,299,0,0.44,1012.31
stuff,1012.75,1013.0699999999999,0.53,299,1,0.32,0.0
always,1013.0699999999999,1013.6,0.634,299,2,0.53,0.0
beat,1013.6,1013.86,0.101,299,3,0.26,0.0
the,1013.86,1014.14,0.479,299,4,0.28,0.0
street,1015.0,1015.52,0.463,300,0,0.52,1015.0
school,1015.52,1016.03,0.987,300,1,0.51,0.0
as,1017.37,1017.6,0.504,301,0,0.23,1017.37
I,1017.6,1018.0,1.0,301,1,0.4,0.0
that,1019.63,1019.83,0.801,302,0,0.2,1019.63
play,1019.83,1020.04,0.419,302,1,0.21,0.0
was,1020.04,1020.2,0.259,302,2,0.16,0.0
liberated,1020.2,1020.87,0.013,302,3,0.67,0.0
in,1020.87,1021.01,0.662,302,4,0.14,0.0
NATO,1021.01,1021.42,0.41,302,5,0.41,0.0
but,1023.47,1023.63,0.437,303,0,0.16,1023.47
the,1023.69,1024.0,0.278,303,1,0.31,0.06
the,1024.72,1024.83,0.562,304,0,0.11,1024.72
new,1024.83,1025.17,0.243,304,1,0.34,0.0
lego,1026.19,1026.49,0.921,304,2,0.3,1.02
your,1026.49,1026.63,0.233,304,3,0.14,0.0
name,1026.63,1026.98,0.356,304,4,0.35,0.0
so,1027.93,1028.13,0.563,305,0,0.2,1027.93
when,1028.13,1028.29,0.064,305,1,0.16,0.0
I,1028.29,1028.34,0.646,305,2,0.05,0.0
was,1028.34,1028.48,0.266,305,3,0.14,0.0
a,1028.48,1028.52,0.196,305,4,0.04,0.0
kid,1028.52,1028.69,0.196,305,5,0.17,0.0
he,1028.69,1028.78,0.126,305,6,0.09,0.0
shouted,1028.78,1029.15,0.315,305,7,0.37,0.0
me,1029.15,1029.3600000000001,0.975,305,8,0.21,0.0
out,1029.3600000000001,1029.62,0.951,305,9,0.26,0.0
a,1030.33,1030.51,0.893,306,0,0.18,1030.33
Barney's,1030.51,1030.88,0.177,306,1,0.37,0.0
projects,1030.88,1031.28,0.811,306,2,0.4,0.0
been,1031.28,1031.52,1.0,306,3,0.24,0.0
no,1031.52,1031.65,0.538,306,4,0.13,0.0
one,1031.65,1031.81,0.264,306,5,0.16,0.0
or,1031.81,1031.93,0.218,306,6,0.12,0.0
more,1031.93,1032.17,0.468,306,7,0.24,0.0
you,1032.17,1032.27,0.852,306,8,0.1,0.0
are,1032.27,1032.58,0.721,306,9,0.31,0.0
I,1034.3899999999999,1034.49,0.864,307,0,0.1,1034.39
just,1034.49,1034.63,0.618,307,1,0.14,0.0
thought,1034.63,1034.81,0.594,307,2,0.18,0.0
them,1034.81,1034.91,0.226,307,3,0.1,0.0
coming,1034.91,1035.22,0.869,307,4,0.31,0.0
down,1035.22,1035.47,0.999,307,5,0.25,0.0
the,1035.47,1035.65,0.672,307,6,0.18,0.0
aisle,1035.65,1035.91,0.326,307,7,0.26,0.0
baby,1035.91,1036.15,0.819,307,8,0.24,0.0
boy,1036.15,1036.5,0.796,307,9,0.35,0.0
surely,1043.15,1043.59,0.256,308,0,0.44,1043.15
come,1043.59,1043.81,0.532,308,1,0.22,0.0
a,1043.81,1043.8600000000001,0.34,308,2,0.05,0.0
word,1043.8600000000001,1044.19,0.712,308,3,0.33,0.0
game,1044.19,1044.55,0.8,308,4,0.36,0.0
and,1045.6100000000001,1045.88,0.165,309,0,0.27,1045.61
****,1045.88,1046.47,0.226,309,1,0.59,0.0
day,1046.6399999999999,1046.82,0.31,309,2,0.18,0.17
with,1046.82,1046.97,0.593,309,3,0.15,0.0
us,1046.97,1047.33,0.49,309,4,0.36,0.0
Mr,1048.06,1048.38,0.91,310,0,0.32,1048.06
Omar,1048.38,1048.8600000000001,0.421,310,1,0.48,0.0
much,1051.0,1051.31,0.288,311,0,0.31,1051.0
ugly,1051.31,1051.73,0.176,311,1,0.42,0.0
you,1068.81,1069.01,0.294,312,0,0.2,1068.81
might,1069.01,1069.43,0.437,312,1,0.42,0.0
but,1070.55,1070.68,0.557,313,0,0.13,1070.55
this,1070.68,1070.83,0.377,313,1,0.15,0.0
is,1070.83,1070.95,0.489,313,2,0.12,0.0
done,1070.95,1071.22,0.153,313,3,0.27,0.0
via,1071.22,1071.54,0.083,313,4,0.32,0.0
annnnd,1076.13,1078.17,1.0,314,0,2.04,1076.13
with,1079.95,1080.24,0.187,315,0,0.29,1079.95
big,1080.24,1080.46,0.037,315,1,0.22,0.0
show,1080.46,1080.81,0.318,315,2,0.35,0.0
my,1082.79,1083.12,0.444,316,0,0.33,1082.79
thing,1084.84,1084.98,0.326,317,0,0.14,1084.84
about,1084.98,1085.22,0.971,317,1,0.24,0.0
within,1085.22,1085.44,0.216,317,2,0.22,0.0
the,1085.44,1085.51,0.227,317,3,0.07,0.0
flesh,1085.51,1085.83,0.171,317,4,0.32,0.0
around,1085.83,1086.08,0.099,317,5,0.25,0.0
open,1086.08,1086.28,0.214,317,6,0.2,0.0
at,1086.28,1086.35,0.096,317,7,0.07,0.0
the,1086.35,1086.5,0.208,317,8,0.15,0.0
sight,1086.5,1086.96,0.1,317,9,0.46,0.0
names,1087.59,1087.82,0.425,317,10,0.23,0.63
because,1087.82,1088.07,0.363,317,11,0.25,0.0
of,1088.07,1088.16,0.428,317,12,0.09,0.0
my,1088.16,1088.43,0.634,317,13,0.27,0.0
no,1088.96,1089.21,0.307,318,0,0.25,1088.96
word,1089.21,1089.52,0.103,318,1,0.31,0.0
so,1092.3899999999999,1092.57,0.951,320,0,0.18,1092.39
that,1092.57,1092.77,0.245,320,1,0.2,0.0
made,1092.77,1092.94,0.394,320,2,0.17,0.0
you,1092.94,1093.05,0.345,320,3,0.11,0.0
want,1093.05,1093.17,0.065,320,4,0.12,0.0
to,1093.17,1093.23,0.064,320,5,0.06,0.0
live,1093.23,1093.43,0.198,320,6,0.2,0.0
in,1093.43,1093.58,0.248,320,7,0.15,0.0
a,1093.58,1093.62,0.862,320,8,0.04,0.0
nice,1093.62,1093.97,0.309,320,9,0.35,0.0
car,1094.25,1094.58,0.167,320,10,0.33,0.28
still,1095.6399999999999,1096.02,0.426,321,0,0.38,1095.64
boosting,1097.57,1098.02,0.114,322,0,0.45,1097.57
my,1098.02,1098.12,0.881,322,1,0.1,0.0
model,1098.12,1098.56,0.308,322,2,0.44,0.0
keep,1100.02,1100.23,0.806,323,0,0.21,1100.02
it,1100.23,1100.32,0.493,323,1,0.09,0.0
close,1100.32,1100.84,0.998,323,2,0.52,0.0
